Epi_week,Category,OROV_INC
2018_07,Rural,0.031283802
2018_07,Urban,0.005070182
2018_08,National,0.011817959
2018_08,Rural,0.058657129
2018_08,Urban,0.005070182
2018_09,National,0.009848299
2018_09,Rural,0.06647808
2018_09,Urban,0.001690061
2018_10,National,0.004924149
2018_10,Rural,0.003910475
2018_10,Urban,0.005070182
2018_11,National,0.002462075
2018_11,Rural,0
2018_11,Urban,0.002816768
2018_12,National,0.005908979
2018_12,Rural,0.019552376
2018_12,Urban,0.003943475
2018_13,National,0.00393932
2018_13,Rural,0.011731426
2018_13,Urban,0.002816768
2018_14,National,0.005908979
2018_14,Rural,0.019552376
2018_14,Urban,0.003943475
2018_15,National,0.010340714
2018_15,Rural,0.043015228
2018_15,Urban,0.005633536
2018_16,National,0.010833129
2018_16,Rural,0.035194278
2018_16,Urban,0.007323596
2018_17,National,0.010833129
2018_17,Rural,0.031283802
2018_17,Urban,0.00788695
2018_18,National,0.005416564
2018_18,Rural,0.019552376
2018_18,Urban,0.003380121
2018_19,National,0.004924149
2018_19,Rural,0.019552376
2018_19,Urban,0.002816768
2018_20,National,0.00393932
2018_20,Rural,0.007820951
2018_20,Urban,0.003380121
2018_21,National,0.00196966
2018_21,Rural,0.003910475
2018_21,Urban,0.001690061
2018_22,National,0.00295449
2018_22,Rural,0.003910475
2018_22,Urban,0.002816768
2018_23,National,0.00295449
2018_23,Rural,0.007820951
2018_23,Urban,0.002253414
2018_24,National,0.004924149
2018_24,Rural,0.011731426
2018_24,Urban,0.003943475
2018_25,National,0.002462075
2018_25,Rural,0.007820951
2018_25,Urban,0.001690061
2018_26,National,0
2018_26,Rural,0
2018_26,Urban,0
2018_27,National,0.00098483
2018_27,Rural,0
2018_27,Urban,0.001126707
2018_28,National,0.00098483
2018_28,Rural,0
2018_28,Urban,0.001126707
2018_29,National,0.00098483
2018_29,Rural,0
2018_29,Urban,0.001126707
2018_30,National,0.000492415
2018_30,Rural,0
2018_30,Urban,0.000563354
2018_31,National,0
2018_31,Rural,0
2018_31,Urban,0
2018_32,National,0.00196966
2018_32,Rural,0.011731426
2018_32,Urban,0.000563354
2018_33,National,0.000492415
2018_33,Rural,0
2018_33,Urban,0.000563354
2018_34,National,0.001477245
2018_34,Rural,0.003910475
2018_34,Urban,0.001126707
2018_35,National,0.00098483
2018_35,Rural,0.003910475
2018_35,Urban,0.000563354
2018_36,National,0.000492415
2018_36,Rural,0
2018_36,Urban,0.000563354
2018_37,National,0.000492415
2018_37,Rural,0.003910475
2018_37,Urban,0
2018_38,National,0.000492415
2018_38,Rural,0
2018_38,Urban,0.000563354
2018_39,National,0.001477245
2018_39,Rural,0.007820951
2018_39,Urban,0.000563354
2018_40,National,0.002462075
2018_40,Rural,0.007820951
2018_40,Urban,0.001690061
2018_41,National,0
2018_41,Rural,0
2018_41,Urban,0
2018_42,National,0.00196966
2018_42,Rural,0
2018_42,Urban,0.002253414
2018_43,National,0.00196966
2018_43,Rural,0.003910475
2018_43,Urban,0.001690061
2018_44,National,0.00098483
2018_44,Rural,0
2018_44,Urban,0.001126707
2018_45,National,0.00098483
2018_45,Rural,0
2018_45,Urban,0.001126707
2018_46,National,0.000492415
2018_46,Rural,0
2018_46,Urban,0.000563354
2018_47,National,0
2018_47,Rural,0
2018_47,Urban,0
2018_48,National,0.000492415
2018_48,Rural,0
2018_48,Urban,0.000563354
2018_49,National,0.00098483
2018_49,Rural,0
2018_49,Urban,0.001126707
2018_50,National,0.000492415
2018_50,Rural,0
2018_50,Urban,0.000563354
2018_51,National,0.000492415
2018_51,Rural,0
2018_51,Urban,0.000563354
2018_52,National,0
2018_52,Rural,0
2018_52,Urban,0
2019_01,National,0.00196966
2019_01,Rural,0.007820951
2019_01,Urban,0.001126707
2019_02,National,0.00196966
2019_02,Rural,0.011731426
2019_02,Urban,0.000563354
2019_03,National,0.00098483
2019_03,Rural,0
2019_03,Urban,0.001126707
2019_04,National,0.001477245
2019_04,Rural,0.007820951
2019_04,Urban,0.000563354
2019_05,National,0.001477245
2019_05,Rural,0
2019_05,Urban,0.001690061
2019_06,National,0.00295449
2019_06,Rural,0.003910475
2019_06,Urban,0.002816768
2019_07,National,0
2019_07,Rural,0
2019_07,Urban,0
2019_08,National,0.00196966
2019_08,Rural,0
2019_08,Urban,0.002253414
2019_09,National,0
2019_09,Rural,0
2019_09,Urban,0
2019_10,National,0
2019_10,Rural,0
2019_10,Urban,0
2019_11,National,0.00098483
2019_11,Rural,0.007820951
2019_11,Urban,0
2019_12,National,0.00295449
2019_12,Rural,0
2019_12,Urban,0.003380121
2019_13,National,0.001477245
2019_13,Rural,0.003910475
2019_13,Urban,0.001126707
2019_14,National,0.001477245
2019_14,Rural,0
2019_14,Urban,0.001690061
2019_15,National,0.00098483
2019_15,Rural,0
2019_15,Urban,0.001126707
2019_16,National,0.00098483
2019_16,Rural,0
2019_16,Urban,0.001126707
2019_17,National,0.00196966
2019_17,Rural,0.003910475
2019_17,Urban,0.001690061
2019_18,National,0.00098483
2019_18,Rural,0
2019_18,Urban,0.001126707
2019_19,National,0.003446905
2019_19,Rural,0
2019_19,Urban,0.003943475
2019_20,National,0.00098483
2019_20,Rural,0
2019_20,Urban,0.001126707
2019_21,National,0.000492415
2019_21,Rural,0
2019_21,Urban,0.000563354
2019_22,National,0.000492415
2019_22,Rural,0
2019_22,Urban,0.000563354
2019_23,National,0
2019_23,Rural,0
2019_23,Urban,0
2019_24,National,0
2019_24,Rural,0
2019_24,Urban,0
2019_25,National,0.000492415
2019_25,Rural,0
2019_25,Urban,0.000563354
2019_26,National,0
2019_26,Rural,0
2019_26,Urban,0
2019_27,National,0.002462075
2019_27,Rural,0
2019_27,Urban,0.002816768
2019_28,National,0
2019_28,Rural,0
2019_28,Urban,0
2019_29,National,0
2019_29,Rural,0
2019_29,Urban,0
2019_30,National,0
2019_30,Rural,0
2019_30,Urban,0
2019_31,National,0.000492415
2019_31,Rural,0
2019_31,Urban,0.000563354
2019_32,National,0.000492415
2019_32,Rural,0
2019_32,Urban,0.000563354
2019_33,National,0.000492415
2019_33,Rural,0.003910475
2019_33,Urban,0
2019_34,National,0
2019_34,Rural,0
2019_34,Urban,0
2019_35,National,0
2019_35,Rural,0
2019_35,Urban,0
2019_36,National,0
2019_36,Rural,0
2019_36,Urban,0
2019_37,National,0.000492415
2019_37,Rural,0
2019_37,Urban,0.000563354
2019_38,National,0
2019_38,Rural,0
2019_38,Urban,0
2019_39,National,0.002462075
2019_39,Rural,0
2019_39,Urban,0.002816768
2019_40,National,0.00098483
2019_40,Rural,0.003910475
2019_40,Urban,0.000563354
2019_41,National,0
2019_41,Rural,0
2019_41,Urban,0
2019_42,National,0
2019_42,Rural,0
2019_42,Urban,0
2019_43,National,0.000492415
2019_43,Rural,0.003910475
2019_43,Urban,0
2019_44,National,0.000492415
2019_44,Rural,0
2019_44,Urban,0.000563354
2019_45,National,0
2019_45,Rural,0
2019_45,Urban,0
2019_46,National,0.000492415
2019_46,Rural,0.003910475
2019_46,Urban,0
2019_47,National,0.000492415
2019_47,Rural,0.003910475
2019_47,Urban,0
2019_48,National,0.000492415
2019_48,Rural,0
2019_48,Urban,0.000563354
2019_49,National,0.003446905
2019_49,Rural,0.003910475
2019_49,Urban,0.003380121
2019_50,National,0.00393932
2019_50,Rural,0
2019_50,Urban,0.004506829
2019_51,National,0.002462075
2019_51,Rural,0
2019_51,Urban,0.002816768
2019_52,National,0
2019_52,Rural,0
2019_52,Urban,0
2020_01,National,0.001477245
2020_01,Rural,0
2020_01,Urban,0.001690061
2020_02,National,0.000492415
2020_02,Rural,0
2020_02,Urban,0.000563354
2020_03,National,0.00098483
2020_03,Rural,0
2020_03,Urban,0.001126707
2020_04,National,0.001477245
2020_04,Rural,0
2020_04,Urban,0.001690061
2020_05,National,0.00098483
2020_05,Rural,0
2020_05,Urban,0.001126707
2020_06,National,0.001477245
2020_06,Rural,0.007820951
2020_06,Urban,0.000563354
2020_07,National,0.00098483
2020_07,Rural,0.007820951
2020_07,Urban,0
2020_08,National,0.00098483
2020_08,Rural,0
2020_08,Urban,0.001126707
2020_09,National,0.001477245
2020_09,Rural,0
2020_09,Urban,0.001690061
2020_10,National,0
2020_10,Rural,0
2020_10,Urban,0
2020_11,National,0
2020_11,Rural,0
2020_11,Urban,0
2020_12,National,0.000492415
2020_12,Rural,0
2020_12,Urban,0.000563354
2020_13,National,0
2020_13,Rural,0
2020_13,Urban,0
2020_14,National,0.000492415
2020_14,Rural,0
2020_14,Urban,0.000563354
2020_15,National,0
2020_15,Rural,0
2020_15,Urban,0
2020_16,National,0
2020_16,Rural,0
2020_16,Urban,0
2020_17,National,0
2020_17,Rural,0
2020_17,Urban,0
2020_18,National,0.000492415
2020_18,Rural,0
2020_18,Urban,0.000563354
2020_19,National,0
2020_19,Rural,0
2020_19,Urban,0
2020_20,National,0
2020_20,Rural,0
2020_20,Urban,0
2020_21,National,0
2020_21,Rural,0
2020_21,Urban,0
2020_22,National,0
2020_22,Rural,0
2020_22,Urban,0
2020_23,National,0
2020_23,Rural,0
2020_23,Urban,0
2020_24,National,0
2020_24,Rural,0
2020_24,Urban,0
2020_25,National,0
2020_25,Rural,0
2020_25,Urban,0
2020_26,National,0.000492415
2020_26,Rural,0
2020_26,Urban,0.000563354
2020_27,National,0.000492415
2020_27,Rural,0
2020_27,Urban,0.000563354
2020_28,National,0.000492415
2020_28,Rural,0
2020_28,Urban,0.000563354
2020_29,National,0
2020_29,Rural,0
2020_29,Urban,0
2020_30,National,0
2020_30,Rural,0
2020_30,Urban,0
2020_31,National,0.000492415
2020_31,Rural,0
2020_31,Urban,0.000563354
2020_32,National,0
2020_32,Rural,0
2020_32,Urban,0
2020_33,National,0
2020_33,Rural,0
2020_33,Urban,0
2020_34,National,0.000492415
2020_34,Rural,0
2020_34,Urban,0.000563354
2020_35,National,0.000492415
2020_35,Rural,0
2020_35,Urban,0.000563354
2020_36,National,0
2020_36,Rural,0
2020_36,Urban,0
2020_37,National,0.000492415
2020_37,Rural,0
2020_37,Urban,0.000563354
2020_38,National,0.000492415
2020_38,Rural,0
2020_38,Urban,0.000563354
2020_39,National,0
2020_39,Rural,0
2020_39,Urban,0
2020_40,National,0.000492415
2020_40,Rural,0
2020_40,Urban,0.000563354
2020_41,National,0.001477245
2020_41,Rural,0
2020_41,Urban,0.001690061
