Epi_week,Category,OROV_cases
2022_15,Urban,1
2022_16,Rural,1
2022_16,Urban,1
2022_17,Rural,2
2022_17,Urban,2
2022_18,Rural,1
2022_18,Urban,3
2022_19,Rural,1
2022_19,Urban,3
2022_20,Rural,2
2022_20,Urban,1
2022_21,Rural,2
2022_21,Urban,2
2022_22,Rural,1
2022_22,Urban,6
2022_23,Rural,1
2022_23,Urban,0
2022_24,Rural,0
2022_24,Urban,1
2022_25,Rural,0
2022_25,Urban,0
2022_26,Rural,0
2022_26,Urban,0
2022_27,Rural,0
2022_27,Urban,0
2022_28,Rural,0
2022_28,Urban,2
2022_29,Rural,0
2022_29,Urban,1
2022_30,Rural,0
2022_30,Urban,0
2022_31,Rural,0
2022_31,Urban,0
2022_32,Rural,2
2022_32,Urban,2
2022_33,Rural,0
2022_33,Urban,0
2022_34,Rural,0
2022_34,Urban,2
2022_35,Rural,1
2022_35,Urban,2
2022_36,Rural,0
2022_36,Urban,0
2022_37,Rural,0
2022_37,Urban,2
2022_38,Rural,0
2022_38,Urban,1
2022_39,Rural,0
2022_39,Urban,0
2022_40,Rural,0
2022_40,Urban,2
2022_41,Rural,0
2022_41,Urban,0
2022_42,Rural,0
2022_42,Urban,1
2022_43,Rural,0
2022_43,Urban,0
2022_44,Rural,0
2022_44,Urban,0
2022_45,Rural,0
2022_45,Urban,1
2022_46,Rural,1
2022_46,Urban,0
2022_47,Rural,0
2022_47,Urban,1
2022_48,Rural,0
2022_48,Urban,1
2022_49,Rural,0
2022_49,Urban,0
2022_50,Rural,0
2022_50,Urban,0
2022_51,Rural,0
2022_51,Urban,1
2022_52,Rural,0
2022_52,Urban,0
2023_01,Rural,1
2023_01,Urban,0
2023_02,Rural,0
2023_02,Urban,7
2023_03,Rural,1
2023_03,Urban,0
2023_04,Rural,0
2023_04,Urban,2
2023_05,Rural,4
2023_05,Urban,0
2023_06,Rural,10
2023_06,Urban,0
2023_07,Rural,19
2023_07,Urban,0
2023_08,Rural,2
2023_08,Urban,1
2023_09,Rural,6
2023_09,Urban,2
2023_10,Rural,10
2023_10,Urban,3
2023_11,Rural,10
2023_11,Urban,7
2023_12,Rural,8
2023_12,Urban,15
2023_13,Rural,7
2023_13,Urban,6
2023_14,Rural,7
2023_14,Urban,6
2023_15,Rural,2
2023_15,Urban,6
2023_16,Rural,1
2023_16,Urban,3
2023_17,Rural,2
2023_17,Urban,2
2023_18,Rural,0
2023_18,Urban,1
2023_19,Rural,2
2023_19,Urban,2
2023_20,Rural,3
2023_20,Urban,4
